gu_code,Longitude,Latitude,trafficlight_num,crosswalk_num,station_num,school_num,avg_landprice,house_1,house_2,house_3,house_4,commerce_1,commerce_2,commerce_3,commerce_4,green_1,green_2,green_3,industry_1,industry_2,industry_3,limit,mediansep_num,island_num,mean_lane,mean_maxspeed,mean_roadwth,mean_roadlen,busstop_num,acc_count1,acc_count2,acc_count3
AA,127.019562,37.51612591,4,0,1,0,3448166.666,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,48,40,3993,1,134,48,40
AA,127.0199989,37.51459887,0,1,1,0,17650857.14,0,0,0.982086863,0,0.017913136,0,0,0,0,0,0,0,0,0,0,1,0,3.666666666,50,28,4080.5,1,55,50,28
AA,127.0205838,37.52644241,0,4,0,2,3224837.5,0.118789197,0.204973175,0.282321609,0,0,0,0,0,0.393916018,0,0,0,0,0,0,0,0,1,53.33333333,12.66666666,658.4963333,0,5,53.33333333,12.66666666
AA,127.0208153,37.51220056,0,1,1,0,20705428.57,0,0,0.983944507,0,0.016055493,0,0,0,0,0,0,0,0,0,0,0,0,3.833333333,50,29,3994.5,0,31,50,29
AA,127.0213298,37.5111134,2,0,1,0,4096666.666,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.125,60,40,5015.666666,0,194,60,40
AA,127.0219254,37.51712528,0,1,1,0,25986700,0,0.000717559,0.990775993,0,0.008506447,0,0,0,0,0,0,0,0,0,0,1,0,3,50,29,1739,2,25,50,29
AA,127.022417,37.52413774,16,5,0,3,12279777.75,0,0.086828124,0.913171875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,50,18.66666666,1244.666666,0,47,50,18.66666666
AA,127.02257,37.51523814,0,1,1,0,7710000,0.161251978,0,0.838748021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,7,278.5,0,0,30,7
AA,127.0231121,37.51952088,0,3,0,0,23376000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,13.5,397.5,0,5,40,13.5
AA,127.0232773,37.50706511,12,4,0,1,14964000,0,0.034515017,0.952230401,0,0.013254581,0,0,0,0,0,0,0,0,0,0,1,0,3.666666666,50,22.66666666,2911.333333,1,91,50,22.66666666
AA,127.023446,37.51775911,0,1,0,0,22293857.14,0,0.050332295,0.944908059,0,0.004759645,0,0,0,0,0,0,0,0,0,0,0,0,3,53.33333333,32.5,1792,0,49,53.33333333,32.5
AA,127.0234509,37.51174946,0,2,1,0,12437700,0,0.00360776,0.996392239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.333333333,50,25,2103,1,34,50,25
AA,127.0236309,37.51557064,0,0,0,0,5511000,0.497392877,0,0.502607122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,6.666666666,450.3333333,0,0,30,6.666666666
AA,127.0238754,37.50581344,0,2,1,1,21367000,0,0.010180771,0.976918267,0,0.012900961,0,0,0,0,0,0,0,0,0,0,1,0,3.666666666,50,22,2910.333333,2,64,50,22
AA,127.0238905,37.5248881,5,2,0,3,12951666.66,0,0.024291825,0.975708175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,45,19,1668.5,0,20,45,19
AA,127.0244863,37.50452127,4,1,1,0,4304375,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,52.5,41.66666666,5281,0,248,52.5,41.66666666
AA,127.0245727,37.53121415,1,0,0,0,7113650,0,0,0.751871737,0,0,0,0,0,0.248128262,0,0,0,0,0,0,0,0,1.5,52.5,18.66666666,3513.666666,0,13,52.5,18.66666666
AA,127.0251793,37.51227953,6,3,0,0,11911600,0,0.006334513,0.993665486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.333333333,50,18,1527,0,54,50,18
AA,127.0252892,37.50476019,0,2,1,0,18925384.6,0,0.014363924,0.932710969,0,0.052925106,0,0,0,0,0,0,0,0,0,0,0,0,2.666666666,50,17,1634.666666,1,71,50,17
AA,127.0262537,37.51894093,7,3,0,0,12931285.71,0,0.001297699,0.994146174,0,0.004556126,0,0,0,0,0,0,0,0,0,0,0,0,3,60,23.33333333,1318.333333,2,37,60,23.33333333
AA,127.0263155,37.50943945,0,2,0,1,8152687.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,10,466,0,21,30,10
AA,127.02691,37.49950352,0,2,1,1,26542166.66,0,0,0.981242807,0,0.018757192,0,0,0,0,0,0,0,0,0,0,0,0,3.833333333,60,25.33333333,2776.333333,3,77,60,25.33333333
AA,127.02694,37.50891186,2,4,0,1,5700578.946,0.20371587,0.796284129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,8.666666666,459,0,32,30,8.666666666
AA,127.0271279,37.53216834,3,4,0,0,11163500,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.166666666,40,11,720,0,6,40,11
AA,127.0274941,37.52042106,0,0,0,0,10989312.5,0,0.204480373,0.602351114,0,0.193168512,0,0,0,0,0,0,0,0,0,0,0,0,1,36.66666666,11,431,0,6,36.66666666,11
AA,127.0276431,37.49798569,1,0,1,0,6471250,0,0,0.841122982,0,0.158877018,0,0,0,0,0,0,0,0,0,0,0,0,4.5,60,46.66666666,5328.666666,0,108,60,46.66666666
AA,127.0278007,37.50550748,5,2,1,0,18346500,0,0.006945582,0.936039088,0,0.057015329,0,0,0,0,0,0,0,0,0,0,0,0,2.333333333,50,20.5,2296,0,66,50,20.5
AA,127.0279311,37.51313076,0,1,0,0,8789600,0,0.005725948,0.994274051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.333333333,50,25,2118,0,11,50,25
AA,127.0281037,37.51970813,11,5,0,0,4592400,0,0,0.995866545,0,0.004133454,0,0,0,0,0,0,0,0,0,0,0,2,4,60,30,3983.666666,0,134,60,30
AA,127.0281452,37.52071055,0,2,0,0,17445900,0,0,0.930239216,0,0.069760783,0,0,0,0,0,0,0,0,0,0,0,0,2.25,50,18,3025.666666,0,34,50,18
AA,127.0283806,37.52717607,13,1,1,0,2228000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.2,56,30,5670.5,0,48,56,30
AA,127.0283906,37.52455574,2,2,1,0,20908000,0,0.058887673,0.941112326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.875,52.5,16.66666666,2960,0,33,52.5,16.66666666
AA,127.0283965,37.49633107,0,2,1,0,44057500,0,0,0.971546474,0,0.028453525,0,0,0,0,0,0,0,0,0,0,1,0,3.833333333,53.33333333,22,2822.333333,2,38,53.33333333,22
AA,127.0284591,37.51891884,0,1,0,0,14129625,0,0,0.974130032,0,0.025869968,0,0,0,0,0,0,0,0,0,0,0,0,2.25,55,18,3092.666666,1,42,55,18
AA,127.0286135,37.51333562,5,3,1,0,12139400,0,0,0.987985112,0.012014887,0,0,0,0,0,0,0,0,0,0,0,0,0,2,60,19.33333333,1484.666666,0,50,60,19.33333333
AA,127.0288843,37.51795659,3,2,0,0,11261363.63,0,0.010644604,0.989355395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,50,18,4428.5,0,25,50,18
AA,127.0291858,37.49467644,0,2,0,0,33290000,0,0,0.971659302,0,0.028340698,0,0,0,0,0,0,0,0,0,0,1,0,3.666666666,60,22,2822.333333,4,37,60,22
AA,127.0295124,37.53279354,0,4,0,1,11253000,0,0.131897664,0.868102335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,11.5,746,0,3,30,11.5
AA,127.0299687,37.49304816,8,3,0,0,18755833.32,0,0,0.863999912,0,0.136000088,0,0,0,0,0,0,0,0,0,0,0,0,3.5,60,30,4438,1,164,60,30
AA,127.0301751,37.52810304,7,2,1,1,14593400,0,0.00507979,0.994920209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,50,21,1826,1,29,50,21
AA,127.0303423,37.53073006,0,5,0,3,9374800,0,0.234498969,0.76550103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.166666666,30,12,611,0,6,30,12
AA,127.0304242,37.51470611,0,2,1,0,11549666.66,0,0,0.9539068,0.0460932,0,0,0,0,0,0,0,0,0,0,0,0,0,2.125,60,18,3025.666666,2,32,60,18
AA,127.0305525,37.50008506,0,0,0,0,11518888.88,0.227980558,0,0,0.193935268,0.578084173,0,0,0,0,0,0,0,0,0,0,0,0,1,30,10.5,480,0,17,30,10.5
AA,127.0307351,37.51400039,13,4,1,0,11682800,0,0,0.998123244,0.001876755,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25,60,35,6027.5,0,143,60,35
AA,127.0310323,37.49901217,20,4,0,0,27108750,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.75,47.5,25.33333333,1517.666666,0,101,47.5,25.33333333
AA,127.0311011,37.51331611,0,2,1,0,14193500,0,0,0.889270114,0.110729885,0,0,0,0,0,0,0,0,0,0,0,0,0,2.125,60,18,2907.333333,0,34,60,18
AA,127.0312574,37.52860934,0,1,0,2,13218166.66,0,0.005625563,0.994374436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,60,21,1755,1,14,60,21
AA,127.0313369,37.5217098,0,4,0,0,10122411.75,0,0.192795267,0.807204732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,53.33333333,10,285.6666666,0,7,53.33333333,10
AA,127.0313671,37.52241066,0,1,0,0,9412142.857,0,0.703261873,0.296738126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,12,266,0,2,60,12
AA,127.0313811,37.49008696,0,2,0,1,26490428.57,0,0,0.90873573,0,0.091264269,0,0,0,0,0,0,0,0,0,0,0,0,3.833333333,50,22,2769,0,30,50,22
AA,127.0315825,37.53305404,0,2,0,1,8896490,0,0.137671884,0.76734442,0,0,0,0,0,0.094983695,0,0,0,0,0,0,0,0,1,40,11.5,670,0,3,40,11.5
AA,127.0316412,37.48957912,13,4,0,1,4752500,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.375,60,40,5638.333333,0,149,60,40
AA,127.0317316,37.52085625,4,3,0,1,10848166.66,0,0,0.997135297,0,0.002864702,0,0,0,0,0,0,0,0,0,0,1,0,3.833333333,60,24.66666666,1365.333333,0,49,60,24.66666666
AA,127.0317641,37.49358407,6,3,0,1,14481200,0,0,0.120681064,0,0.879318935,0,0,0,0,0,0,0,0,0,0,0,0,1.5,52.5,13.33333333,1326,0,62,52.5,13.33333333
AA,127.0317747,37.53104436,0,3,0,3,6414166.666,0.076791125,0.501530672,0.421678203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,12,459,0,0,40,12
AA,127.0318923,37.48903194,0,2,0,1,18458250,0,0.009802287,0.963478757,0,0.026718955,0,0,0,0,0,0,0,0,0,0,0,0,3.833333333,50,22,2876,0,16,50,22
AA,127.0325686,37.52903094,0,1,0,3,13160428.57,0,0.004795279,0.99520472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.833333333,50,21,1750,0,12,50,21
AA,127.032675,37.51538254,0,0,1,0,9870555.551,0.148758794,0,0.726020249,0.125220956,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,12,372.5,0,11,60,12
