no,acc_count1,acc_count2,acc_count3
1,248,52.5,41.66666666
2,245,52.5,32.5
3,220,60,37.5
4,212,60,30
5,208,57.5,34.66666666
6,208,60,40
7,199,60,40.5
8,197,50,32.5
9,197,65,35
10,194,60,40
11,194,47.5,27.5
12,193,60,37
13,190,52.5,31
14,186,60,30
15,185,50,19.33333333
16,185,60,27.5
17,184,60,30
18,181,60,32.5
19,180,60,32.5
20,176,54,26
21,176,65,35
22,176,58,25.66666666
23,174,50,33.5
24,174,56,27.5
25,173,60,40
26,172,57.5,24.66666666
27,172,60,30
28,171,60,37.5
29,171,60,26
30,169,55,35.5
31,168,60,45
32,167,60,25
33,164,60,30
34,164,60,34
35,163,75,20
36,162,65,37.5
37,162,47.5,29.5
38,161,60,36
39,159,60,42
40,159,60,38
41,154,60,36
42,154,60,35
43,153,60,35
44,153,60,35
45,149,60,40
46,149,57.5,26
47,149,50,25
48,148,55,22.5
49,147,60,38.33333333
50,146,52.5,24.33333333
51,144,60,26.5
52,144,60,32.33333333
53,144,45,18.22033333
54,144,52.5,30.66666666
55,143,60,35
56,143,35,25
57,143,57.5,33
58,142,60,37.5
59,142,60,36
60,142,60,32.5
61,141,60,30
62,141,54.54545454,21.4
63,140,65,32.5
64,139,58.57142857,31.25
65,139,60,28.5
66,137,60,33
67,137,60,19
68,137,57.5,31
69,136,52.5,22.5
70,135,60,31.4
71,134,48,40
72,134,60,30
73,134,60,16.66666666
74,134,52.5,35.5
75,134,62.5,36.5
76,134,60,38.5
77,133,60,33.5
78,133,57.5,28.33333333
79,133,45,29.5
80,132,30,22
81,132,50,30
82,132,60,30
83,131,62.5,30
84,131,55,20
85,130,52.5,13.4
86,130,60,20
87,130,60,40
88,130,60,25
89,130,52.5,21.66666666
90,130,60,18.5
91,129,60,33
92,129,50,32
93,129,40.9090909,30
94,128,55,29
95,128,60,34.66666666
96,128,60,38.5
97,127,60,37.5
98,127,60,15.66666666
99,127,60,20.33333333
100,127,60,20.33333333
101,127,60,48.5
102,127,50,20
103,126,70,36.5
104,126,37.5,11
105,126,50,35
106,126,60,35
107,125,56.66666666,35.66666666
108,125,60,22.5
109,124,55,25
110,124,60,39.5
111,124,54,26.66666666
112,124,60,38
113,123,53.33333333,29.5
114,123,60,40
115,123,50,42.66666666
116,123,60,27
117,122,60,20
118,122,50,22.66666666
119,122,51.66666666,36
120,122,60,35
121,122,55,23.66666666
122,121,55,21
123,121,60,27.5
124,120,62.5,50.5
125,120,60,39.5
126,120,56.66666666,32
127,119,60,32.5
128,119,40,30
129,119,60,35
130,119,63.33333333,20
131,118,55,39
132,118,60,33
133,118,55,17.5
134,117,60,24.5
135,117,55,20
136,117,60,20
137,117,60,38.5
138,117,60,33.5
139,116,60,45
140,116,52.5,27
141,116,52.5,20
142,116,53.33333333,24.5
143,115,60,21
144,115,60,21
145,115,60,35
146,115,60,23
147,114,55,21
148,114,60,34
149,114,67.5,33.33333333
150,113,60,35.25
151,113,60,52.5
152,113,50,23.6
153,113,60,35
154,113,55,28.5
155,113,50,29
156,112,60,25
157,112,52.5,27.5
158,112,60,38.5
159,112,60,29.5
160,112,60,30.25
161,111,56.66666666,24.5
162,111,60,31
163,111,60,37.5
164,111,60,29
165,110,54,13.66666666
166,110,52.5,31.25
167,110,55,27.5
168,110,52.5,22.5
169,110,60,38.5
170,110,54,32.5
171,110,53.33333333,26
172,110,60,18.33333333
173,109,60,38.33333333
174,109,55,20
175,109,37.5,23.33333333
176,109,60,27.5
177,109,52.5,12.66666666
178,109,52.5,21.33333333
179,109,50,23.33333333
180,108,60,46.66666666
181,108,47.5,30
182,108,50,31
183,108,52.5,31.5
184,108,60,32.5
185,108,52.5,18
186,108,50,25
187,108,60,26
188,107,60,40
189,107,60,25
190,107,60,28.5
191,107,60,21.5
192,106,60,32
193,106,51.42857142,29.75
194,106,60,30.5
195,106,50,14.5
196,105,60,18
197,105,60,35
198,105,52.5,35
199,105,60,37.5
200,104,52.5,24
201,104,60,24.5
202,104,53.33333333,25
203,104,62.5,35
204,104,45,29.5
205,104,62.5,32.5
206,103,60,45
207,102,55,24
208,102,60,27
209,102,52.5,28.75
210,102,60,18.5
211,102,60,24.75
212,102,60,32.5
213,101,47.5,25.33333333
214,101,52.5,30
215,101,52.5,24.5
216,101,56.66666666,25
217,100,60,37.5
218,100,52.5,55
219,100,66.66666666,12.6
220,100,50,32.5
221,100,60,27
222,100,52.5,36
223,100,56.66666666,28
224,99,60,40
225,99,60,60
226,99,52,40
227,99,60,36.66666666
228,99,42.5,25
229,99,60,36
230,99,60,30
231,99,60,30
232,99,56.66666666,17.5
233,98,60,33.33333333
234,98,60,33.5
235,98,63.33333333,31.33333333
236,98,32.5,17.5
237,98,60,30.66666666
238,98,57.5,46.66666666
239,98,52.5,27.5
240,97,30,14
241,97,50,15.33333333
242,97,60,25
243,97,47.5,29.32433333
244,97,62.5,32.5
245,97,60,22.33333333
246,97,60,22.25
247,97,52.5,25
248,97,30,22.33333333
249,97,46,31.66666666
250,97,60,27.5
251,97,60,30.5
252,96,60,21
253,96,60,22
254,96,60,23
255,95,65,25
256,95,60,31.75
257,95,52.5,33.33333333
258,95,50,22.5
259,94,60,37.5
260,94,60,55
261,94,50,15.33333333
262,94,55,40
263,94,62.5,34.5
264,94,60,30
265,94,60,17.66666666
266,93,60,35
267,93,37.5,12.5
268,93,50,13.5
269,93,55,26.5
270,93,56.66666666,29
271,93,47.5,17.66666666
272,93,66.66666666,32.5
273,93,35,22.66666666
274,93,50,35
275,93,60,34.33333333
276,92,60,25
277,92,55,26.25
278,92,60,36
279,92,60,53
280,91,50,22.66666666
281,91,65,32.5
282,91,53.33333333,24.5
283,91,63.33333333,22.5
284,91,48,25
285,91,60,12.75
286,90,60,43.66666666
287,90,60,32.5
288,90,60,28
289,90,45,18.33333333
290,90,52.5,24.5
291,90,60,35.5
292,90,53.33333333,45.33333333
293,90,60,33.5
294,90,60,21.66666666
295,90,60,21
296,90,42.5,16.66666666
297,89,60,35
298,89,55,35
299,89,60,32
300,89,60,26
301,89,60,44.5
302,89,52.5,19.66666666
303,89,45,20.66666666
304,89,60,23
305,88,60,40.5
306,88,57.5,50
307,88,47.5,22.5
308,88,40,24
309,88,62.5,49
310,88,60,22.5
311,88,60,25
312,88,60,34.5
313,88,56.66666666,39.5
314,87,60,24.5
315,87,62.5,40
316,87,52.5,25.75
317,87,47.5,23.5
318,87,45,30
319,87,60,23
320,87,52.5,27.25
321,86,52.5,55
322,86,66.66666666,31.66666666
323,86,56.66666666,24
324,86,60,16
325,86,60,18.33333333
326,86,55,30
327,86,45,25.5
328,86,45,27
329,85,65,37.5
330,85,47.5,32.5
331,85,52.5,21.33333333
332,85,50,11.33333333
333,85,60,20
334,85,52.5,24
335,85,62.5,30
336,85,50,23.33333333
337,85,60,27.5
338,84,50,20.66666666
339,84,66.66666666,20
340,84,50,30
341,84,55,34.5
342,84,45,26.33333333
343,84,55,27
344,84,53.33333333,30
345,83,60,37.5
346,83,60,22.33333333
347,83,50,19
